timepoint,temp,embryo,well,pheno_note,tag
36,32C,HF4-36-HF4-36hpf-32C_P12_G6,G6,severe,36-32C-G6
24,34C,HF4-24-HF4-24hpf-34C_P2_E10,E10,severe,24-34C-E10
30,32C,HF4-30-HF4-30hpf-32C_P9_E6,E6,severe,30-32C-E6
24,34C,HF4-24-HF4-24hpf-34C_P2_F10,F10,severe,24-34C-F10
24,34C,HF4-24-HF4-24hpf-34C_P2_H9,H9,norm,24-34C-H9
24,34C,HF4-24-HF4-24hpf-34C_P2_A12,A12,severe,24-34C-A12
30,34C,HF4-30-HF4-30hpf-34C_P9_D8,D8,norm,30-34C-D8
24,32C,HF4-24-HF4-24hpf-32C_P2_G4,G4,norm,24-32C-G4
36,34C,HF4-36-HF4-36hpf-34C_P12_G10,G10,severe,36-34C-G10
30,32C,HF4-30-HF4-30hpf-32C_P9_E3,E3,norm,30-32C-E3
36,34C,HF4-36-HF4-36hpf-34C_P12_H11,H11,severe,36-34C-H11
36,34C,HF4-36-HF4-36hpf-34C_P12_B11,B11,severe,36-34C-B11
24,34C,HF4-24-HF4-24hpf-34C_P2_D9,D9,norm,24-34C-D9
24,32C,HF4-24-HF4-24hpf-32C_P2_D7,D7,norm,24-32C-D7
24,32C,HF4-24-HF4-24hpf-32C_P2_H3,H3,norm,24-32C-H3
30,34C,HF4-30-HF4-30hpf-34C_P9_H9,H9,norm,30-34C-H9
24,34C,HF4-24-HF4-24hpf-34C_P2_E11,E11,severe,24-34C-E11
36,32C,HF4-36-HF4-36hpf-32C_P12_D6,D6,severe,36-32C-D6
24,32C,HF4-24-HF4-24hpf-32C_P2_D3,D3,norm,24-32C-D3
24,32C,HF4-24-HF4-24hpf-32C_P2_B6,B6,severe,24-32C-B6
30,32C,HF4-30-HF4-30hpf-32C_P9_G3,G3,norm,30-32C-G3
24,34C,HF4-24-HF4-24hpf-34C_P2_B11,B11,severe,24-34C-B11
